SQL_ID,EXECUTIONS,ELAPSED_SEC,CPU_SEC,SQL_TEXT
b3853arjnybzv,25,0.24,0.07,"INSERT INTO AUDSYS.AUD$UNIFIED (AUDIT_TYPE, SESSIONID, PROXY_SESSIONID, OS_USER, HOST_NAME, TERMINAL, INSTANCE_ID, DBID, AUTHENTICATION_TYPE, USERID, PROXY_USERID, EXTERNAL_USERID, GLOBAL_USERID, CLIENT_PROGRAM_NAME, DBLINK_INFO, XS_USER_NAME, XS_SESSIONID, ENTRY_ID, STATEMENT_ID, EVENT_TIMESTAMP, ACTION, RETURN_CODE, OS_PROCESS, TRANSACTION_ID, SCN, EXECUTION_ID, OBJ_OWNER, OBJ_NAME, CLIENT_IDENTIFIER, NEW_OWNER, NEW_NAME, OBJECT_EDITION, SYSTEM_PRIVILEGE_USED, SYSTEM_PRIVILEGE, AUDIT_OPTION, OBJECT_PRIVILEGES, ROLE, TARGET_USER, EXCLUDED_USER, EXCLUDED_SCHEMA, EXCLUDED_OBJECT, CURRENT_USER, ADDITIONAL_INFO, UNIFIED_AUDIT_POLICIES) values (:AUDIT_TYPE, :SESSIONID, :PROXY_SESSIONID, :OS_USER, :HOST_NAME, :TERMINAL, :INSTANCE_ID, :DBID, :AUTHENTICATION_TYPE, :USERID, :PROXY_USERID, :EXTERNAL_USERID, :GLOBAL_USERID, :CLIENT_PROGRAM_NAME, :DBLINK_INFO, :XS_USER_NAME, :XS_SESSIONID, :ENTRY_ID, :STATEMENT_ID, :EVENT_TIMESTAMP, :ACTION, :RETURN_CODE, :OS_PROCESS, :TRANSACTION_ID, :SCN, :EXECUTION_ID, :OBJ_OWNER, :OBJ_NAME, :CLIENT_IDENTIFIER, :NEW_OWNER, :NEW_NAME, :OBJECT_EDITION, :SYSTEM_PRIVILEGE_USED, :SYSTEM_PRIVILEGE, :AUDIT_OPTION, :OBJECT_PRIVILEGES, :ROLE, :TARGET_USER, :EXCLUDED_USER, :EXCLUDED_SCHEMA, :EXCLUDED_OBJECT, :CURRENT_USER, :ADDITIONAL_INFO, :UNIFIED_AUDIT_POLICIES)"
1jb0rx0tq963n,1,0.19,0.11,delete /* QOSH:PURGE_OLD_STS *//*+ dynamic_sampling(4) */ from sys.optstat_snapshot$                 where timestamp < :1   and rownum <=  :2   
c3zymn7x3k6wy,3,0.15,0.01,"select obj#, dataobj#, part#, hiboundlen, hiboundval, flags, ts#, file#, block#, pctfree$, initrans, maxtrans, analyzetime, samplesize, rowcnt, blevel, leafcnt, distkey, lblkkey, dblkkey, clufac, pctthres$, length(bhiboundval), bhiboundval from indpart$ where bo# = :1 order by part#"
f705bwx3q0ydq,1,0.12,0.12,"select count(*) from dba_autotask_window_clients c, (select window_name, max(log_date) max_log_date from dba_scheduler_window_log where operation = 'OPEN' group by window_name) wo, (select window_name, max(log_date) max_log_date from dba_scheduler_window_log where operation = 'CLOSE' group by window_name) wc where c.window_name = wo.window_name and c.optimizer_stats = 'ENABLED' and wo.window_name = wc.window_name and wo.max_log_date < wc.max_log_date and wc.window_name not in (select h.window_name from dba_autotask_job_history h where h.client_name = 'auto optimizer stats collection' and h.job_start_time between wo.max_log_date and wc.max_log_date) "
f705bwx3q0ydq,1,0.12,0.12,"select count(*) from dba_autotask_window_clients c, (select window_name, max(log_date) max_log_date from dba_scheduler_window_log where operation = 'OPEN' group by window_name) wo, (select window_name, max(log_date) max_log_date from dba_scheduler_window_log where operation = 'CLOSE' group by window_name) wc where c.window_name = wo.window_name and c.optimizer_stats = 'ENABLED' and wo.window_name = wc.window_name and wo.max_log_date < wc.max_log_date and wc.window_name not in (select h.window_name from dba_autotask_job_history h where h.client_name = 'auto optimizer stats collection' and h.job_start_time between wo.max_log_date and wc.max_log_date) "
1kb56hd6c73bv,1,0.09,0.09,"select count(*) num_windows, sum(case when jobs_started<>jobs_completed then 1 else 0 end) num_jobs_incomplete from  (select x.cname_ketcl client_name,       sum(case when operation = 'RUN'           then 1 else 0 end) as jobs_started,       sum(case when operation = 'RUN' and status = 'SUCCEEDED'           then 1 else 0 end) as jobs_completed  from x$ketcl x,       dba_scheduler_job_log jl,       (select window_name, window_start_time, window_end_time        from (          select window_name,            lag(window_name, 1) over (order by log_date ) prev_window_name,            operation,            lag(operation, 1) over (order by log_date ) prev_operation,            lag(log_date, 1) over (order by log_date ) window_start_time,            log_date window_end_time          from dba_scheduler_window_log          where operation in  ('OPEN', 'CLOSE'))        where operation = 'CLOSE' and prev_operation = 'OPEN'          and window_name = prev_window_name) WLOG where (bitand(x.attr_ketcl,2048) = 0     or 999999 < (select to_number(value)                    from v$system_parameter                   where name = '_automatic_maintenance_test'))   and x.cid_ketcl > 0   and jl.job_class in (x.hjc_ketcl,x.ujc_ketcl,x.mjc_ketcl)   and jl.log_date between wlog.window_start_time                       and wlog.window_end_time group by x.cname_ketcl, wlog.window_name, wlog.window_start_time,          wlog.window_end_time - wlog.window_start_time,           wlog.window_end_time ) where client_name = 'auto optimizer stats collection'"
b13g21mgg8y98,1,0.09,0.09,"insert /* KSXM:TAKE_SNPSHOT */ into sys.optstat_snapshot$ (obj#, inserts, updates, deletes, timestamp, flags) (select m.obj#, m.inserts, m.updates, m.deletes, systimestamp,  dbms_stats_advisor.compute_volatile_flag(    m.obj#, m.flags, :flags, m.inserts, m.updates, m.deletes,    s.inserts, s.updates, s.deletes, null,    nvl(to_number(p.valchar), :global_stale_pcnt), s.gather) flags from sys.mon_mods_all$ m, (select si.obj#, max(si.inserts) inserts, max(si.updates) updates,    max(si.deletes) deletes, decode(bitand(max(si.flags), :gather_flag), 0,                               'NO_GATHER', 'GATHER') gather,    max(si.timestamp) timestamp  from sys.optstat_snapshot$ si,  (select obj#, max(timestamp) ts from sys.optstat_snapshot$   group by obj#) sm  where si.obj# = sm.obj# and si.timestamp = sm.ts  group by si.obj#) s, sys.optstat_user_prefs$ p where m.obj# = s.obj#(+)  and m.obj# = p.obj#(+) and pname(+) = 'STALE_PERCENT'  and dbms_stats_advisor.check_mmon_policy_violation(rownum, 6, 2) = 0) "
5pj6mtazkhmdd,4,0.09,0.09,BEGIN /* KSXM:FLUSH DML_MON */    dbms_stats_internal.gather_scan_rate_by_mmon;  END;
1kb56hd6c73bv,1,0.09,0.09,"select count(*) num_windows, sum(case when jobs_started<>jobs_completed then 1 else 0 end) num_jobs_incomplete from  (select x.cname_ketcl client_name,       sum(case when operation = 'RUN'           then 1 else 0 end) as jobs_started,       sum(case when operation = 'RUN' and status = 'SUCCEEDED'           then 1 else 0 end) as jobs_completed  from x$ketcl x,       dba_scheduler_job_log jl,       (select window_name, window_start_time, window_end_time        from (          select window_name,            lag(window_name, 1) over (order by log_date ) prev_window_name,            operation,            lag(operation, 1) over (order by log_date ) prev_operation,            lag(log_date, 1) over (order by log_date ) window_start_time,            log_date window_end_time          from dba_scheduler_window_log          where operation in  ('OPEN', 'CLOSE'))        where operation = 'CLOSE' and prev_operation = 'OPEN'          and window_name = prev_window_name) WLOG where (bitand(x.attr_ketcl,2048) = 0     or 999999 < (select to_number(value)                    from v$system_parameter                   where name = '_automatic_maintenance_test'))   and x.cid_ketcl > 0   and jl.job_class in (x.hjc_ketcl,x.ujc_ketcl,x.mjc_ketcl)   and jl.log_date between wlog.window_start_time                       and wlog.window_end_time group by x.cname_ketcl, wlog.window_name, wlog.window_start_time,          wlog.window_end_time - wlog.window_start_time,           wlog.window_end_time ) where client_name = 'auto optimizer stats collection'"
5pj6mtazkhmdd,4,0.08,0.08,BEGIN /* KSXM:FLUSH DML_MON */    dbms_stats_internal.gather_scan_rate_by_mmon;  END;
